ID,NAME,ADRESS,CITY,STATE,POSTAL,EMAIL,PHONE,WEBSITE,LAT,LNG
A002,ELLSWORTH LLC,6418 LOCUST AVE,SYKESVILLE,MD,21784,,856-488-9535,www.ellsworthllc.com,39.400551,-76.968734
AA001,WHOLESALE PLBG. SUPPLY,10601 TRENTON AVE.,ST. LOUIS,MO,63132,sboudreau@wpsco.com,(314) 429-6010,www.wpsco.com,38.67515,-90.375989
AA002,WHOLESALE PLBG. SUPPLY,HIGHWAY 32 EAST,FARMINGTON,MO,63640,,573-756-5735,www.wspco.com,37.763082,-90.394854
AA003,WHOLESALE PLBG. SUPPLY,2080 EXCHANGE DRIVE,SAINT CHARLES,MO,63303,,636-916-4430,www.wspco.com,38.756492,-90.540263
AA004,WHOLESALE PLBG. SUPPLY,720 WEST 4TH ST.,EUREKA,MO,63025,,636-938-9010,www.wspco.com,38.491812,-90.623346
AA005,WHOLESALE PLBG. SUPPLY,1212 CONTINENTAL DRIVE,WENTZVILLE,MO,63385,,636-332-0000,www.wspco.com,38.80171,-90.859185
AA006,WHOLESALE PLBG. SUPPLY,1837 HIGHWAY Z,PEVELY,MO,63070,,636-475-7196,www.wspco.com,38.284051,-90.413317
AA007,PREMIER PLUMBING STUDIO,11618 PAGE SERVICE DRIVE,SAINT LOUIS,MO,63146,,314-872-9339,,38.693723,-90.455983
AA008,WHOLESALE PLBG. SUPPLY,1737 MACKLIND AVE,SAINT LOUIS,MO,63110,,314-390-9454,www.wspco.com,38.624383,-90.264406
AAA001,COMMERCIAL SUPPLY COMPANY,189 CHESTNUT STREET,NEW BRITAIN,CT,6051,,860-229-2076,,41.66121,-72.779542
AAB001,COBURN SUPPLY,600 E. HOUSTON,TYLER,TX,75702,jpeters@coburns.com,903-593-8491,,32.360822,-95.309144
AAC001,CONEJO VALLEY PIPE & SUPPLY,2324-B TELLER ROAD,NEWBURY PARK,CA,91320,Mike@cvpsupply.com,805-499-0780,WWW.CVPSUPPLY.COM,34.163619,-118.95474
AAD001,CONNORS PLUMBING & HEATING,4684 EAGLE ROCK BLVD.,LOS ANGELES,CA,90041,,213-256-0765,WWW.CONELYCO.COM,34.137321,-118.207164
